                     Package                Version     
abind                "abind"                "1.4-8"     
affy                 "affy"                 "1.72.0"    
affyio               "affyio"               "1.64.0"    
annotate             "annotate"             "1.72.0"    
AnnotationDbi        "AnnotationDbi"        "1.56.2"    
ape                  "ape"                  "5.8-1"     
apeglm               "apeglm"               "1.16.0"    
askpass              "askpass"              "1.2.1"     
assertthat           "assertthat"           "0.2.1"     
babelgene            "babelgene"            "22.9"      
backports            "backports"            "1.5.0"     
base64enc            "base64enc"            "0.1-6"     
bbmle                "bbmle"                "1.0.25.1"  
bdsmatrix            "bdsmatrix"            "1.3-7"     
beachmat             "beachmat"             "2.10.0"    
beeswarm             "beeswarm"             "0.4.0"     
BH                   "BH"                   "1.90.0-1"  
Biobase              "Biobase"              "2.54.0"    
BiocGenerics         "BiocGenerics"         "0.40.0"    
BiocManager          "BiocManager"          "1.30.27"   
BiocNeighbors        "BiocNeighbors"        "1.12.0"    
BiocParallel         "BiocParallel"         "1.28.3"    
BiocSingular         "BiocSingular"         "1.10.0"    
BiocVersion          "BiocVersion"          "3.14.0"    
Biostrings           "Biostrings"           "2.62.0"    
bit                  "bit"                  "4.6.0"     
bit64                "bit64"                "4.6.0-1"   
bitops               "bitops"               "1.0-9"     
blob                 "blob"                 "1.3.0"     
bluster              "bluster"              "1.4.0"     
bslib                "bslib"                "0.10.0"    
cachem               "cachem"               "1.1.0"     
caTools              "caTools"              "1.18.3"    
checkmate            "checkmate"            "2.3.4"     
cli                  "cli"                  "3.6.5"     
clipr                "clipr"                "0.8.0"     
coda                 "coda"                 "0.19-4.1"  
commonmark           "commonmark"           "2.0.0"     
cowplot              "cowplot"              "1.2.0"     
cpp11                "cpp11"                "0.5.3"     
crayon               "crayon"               "1.5.3"     
crosstalk            "crosstalk"            "1.2.2"     
curl                 "curl"                 "7.0.0"     
data.table           "data.table"           "1.18.2.1"  
DBI                  "DBI"                  "1.3.0"     
DelayedArray         "DelayedArray"         "0.20.0"    
DelayedMatrixStats   "DelayedMatrixStats"   "1.16.0"    
deldir               "deldir"               "2.0-4"     
DESeq2               "DESeq2"               "1.34.0"    
digest               "digest"               "0.6.39"    
DO.db                "DO.db"                "2.9"       
DOSE                 "DOSE"                 "3.20.1"    
