                     Package                Version     
abind                "abind"                "1.4-5"     
base                 "base"                 "4.3.3"     
base64enc            "base64enc"            "0.1-3"     
beachmat             "beachmat"             "2.18.0"    
beeswarm             "beeswarm"             "0.4.0"     
BH                   "BH"                   "1.87.0-1"  
Biobase              "Biobase"              "2.62.0"    
BiocGenerics         "BiocGenerics"         "0.48.1"    
BiocIO               "BiocIO"               "1.12.0"    
BiocNeighbors        "BiocNeighbors"        "1.20.0"    
BiocParallel         "BiocParallel"         "1.36.0"    
BiocSingular         "BiocSingular"         "1.18.0"    
Biostrings           "Biostrings"           "2.70.1"    
bitops               "bitops"               "1.0-9"     
bluster              "bluster"              "1.12.0"    
Cairo                "Cairo"                "1.6-5"     
cli                  "cli"                  "3.6.5"     
cluster              "cluster"              "2.1.8.1"   
codetools            "codetools"            "0.2-20"    
colorspace           "colorspace"           "2.1-1"     
compiler             "compiler"             "4.3.3"     
cpp11                "cpp11"                "0.5.2"     
crayon               "crayon"               "1.5.3"     
data.table           "data.table"           "1.17.8"    
datasets             "datasets"             "4.3.3"     
DelayedArray         "DelayedArray"         "0.28.0"    
DelayedMatrixStats   "DelayedMatrixStats"   "1.24.0"    
dqrng                "dqrng"                "0.3.2"     
edgeR                "edgeR"                "4.0.16"    
ellipsis             "ellipsis"             "0.3.2"     
fansi                "fansi"                "1.0.6"     
farver               "farver"               "2.1.2"     
FNN                  "FNN"                  "1.1.4.1"   
formatR              "formatR"              "1.14"      
futile.logger        "futile.logger"        "1.4.3"     
futile.options       "futile.options"       "1.0.1"     
GenomeInfoDb         "GenomeInfoDb"         "1.38.1"    
GenomeInfoDbData     "GenomeInfoDbData"     "1.2.11"    
GenomicAlignments    "GenomicAlignments"    "1.38.0"    
GenomicRanges        "GenomicRanges"        "1.54.1"    
ggbeeswarm           "ggbeeswarm"           "0.7.2"     
ggplot2              "ggplot2"              "3.5.2"     
ggrastr              "ggrastr"              "1.0.2"     
ggrepel              "ggrepel"              "0.9.6"     
glue                 "glue"                 "1.8.0"     
graphics             "graphics"             "4.3.3"     
grDevices            "grDevices"            "4.3.3"     
