"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000007933.13",435.551571032803,-11.1958266519283,0.24930792096546,-44.9076251110344,0,0
"ENSG00000013810.21",1957.57372100541,4.6042107006334,0.106473267925208,43.2428795542149,0,0
"ENSG00000021852.14",232.894708138675,-12.3263721447711,0.314912180522669,-39.1422526887104,0,0
"ENSG00000025423.11",541.780386098129,-6.98258941834751,0.150333936414879,-46.4471933940288,0,0
"ENSG00000047457.14",1046.45392465216,-12.2718290262896,0.265811072234994,-46.1674862642309,0,0
"ENSG00000055957.11",646.329243580716,-13.5424030408607,0.30786534420594,-43.9880723690739,0,0
"ENSG00000062282.15",1185.94342794868,-3.73557143810779,0.0983954319394992,-37.9648868293469,0,0
"ENSG00000065911.13",3255.42818697782,5.95510608572482,0.119168660148616,49.9720822429164,0,0
"ENSG00000071282.12",432.654638486172,-4.06595126689571,0.0693234983830359,-58.6518476668611,0,0
"ENSG00000072080.11",96.9274519253517,-8.23229904260155,0.2044961709957,-40.2564947916538,0,0
"ENSG00000082458.12",747.133562250079,5.1950035676653,0.111587863361367,46.5552741236901,0,0
"ENSG00000084674.15",5589.07265217385,-16.8473880638879,0.403383568235919,-41.7651818034262,0,0
"ENSG00000089685.15",1794.52816904521,5.86010747207949,0.152682138062208,38.3810938624128,0,0
"ENSG00000091583.11",3073.35500777631,-15.7281054284339,0.313571639378329,-50.1579334777075,0,0
"ENSG00000093009.11",677.164150350012,5.35212378806997,0.116747011496341,45.8437755234334,0,0
"ENSG00000101323.5",254.25927001027,-12.5171909420486,0.328007296473117,-38.1613185945529,0,0
"ENSG00000101981.12",200.167690618122,-12.1724111077521,0.315338806941863,-38.6010565137841,0,0
"ENSG00000102554.14",1985.30697706475,4.50225844556637,0.100229531827084,44.9194799526119,0,0
"ENSG00000103569.11",621.48207976982,-13.6784296435296,0.325760225246885,-41.989256463594,0,0
"ENSG00000104760.17",3631.2563225466,-15.3916318261748,0.315484968984962,-48.7872112439957,0,0
"ENSG00000105281.12",9212.61944680079,10.5206252513632,0.24908966959438,42.2362969467786,0,0
"ENSG00000105398.4",691.455114146233,-12.3788756341456,0.291015913510482,-42.5367653776078,0,0
"ENSG00000106348.19",1626.59671966495,4.39013260154672,0.0847486296962766,51.801812221391,0,0
"ENSG00000106462.12",1701.29619716446,2.88156091282859,0.0760231541832836,37.9037274075929,0,0
"ENSG00000106927.12",4992.66996738128,-15.0223084883258,0.269394161227378,-55.7633039256793,0,0
"ENSG00000106993.12",666.978137342039,-3.17660821549748,0.082741618490031,-38.3919032944734,0,0
"ENSG00000107186.17",221.243519622676,-12.1880483372959,0.318360141449398,-38.283838805346,0,0
"ENSG00000109072.14",2772.63559234679,-12.1821830989323,0.195710116875025,-62.2460570431907,0,0
"ENSG00000110243.12",283.064775351641,-12.4155312657459,0.307914815272571,-40.321318267052,0,0
"ENSG00000110244.7",1671.29488419373,-14.9133394690782,0.306285352982165,-48.6909978680782,0,0
"ENSG00000110245.12",6031.19488342452,-16.8930928711815,0.311580964249635,-54.2173457607216,0,0
"ENSG00000111052.8",199.797011524095,-8.81146552368831,0.1741258010497,-50.6040200278723,0,0
"ENSG00000111206.13",2208.68336997726,6.70270529132605,0.167822398927367,39.9392770819999,0,0
