,Hep_D1_1,Hep_D1_2,Hep_D1_3,SW1116_D1_1,SW1116_D1_2,SW1116_D1_3,SW48_D1_1,SW48_D1_2,SW48_D1_3
ENSG00000000003.16,1306.001,1266.035,1102,1391,1405.977,1401,1133.022,1081,1043.001
ENSG00000000005.6,0,0,1,0,0,2,0,0,0
ENSG00000000419.14,1521.644,1624.443,1507.433,2487.316,2305.117,2508.09,851.029,943.869,929.749
ENSG00000000457.14,291.68,341.842,319.943,187.563,176.595,206.437,264.653,246.263,308.411
ENSG00000000460.17,124.319,151.249,125.01,494.431,534.441,516.562,278.425,249.736,236.763
ENSG00000000938.13,0,0,0,11,7,18,1,0,1
ENSG00000000971.17,1868.006,2023.281,1926.102,5.773,2.121,7.601,11.868,10.908,15.414
ENSG00000001036.14,2916.082,3176.876,2957.912,3773.627,3706.815,3918.066,1882.564,1844.609,1896.636
ENSG00000001084.13,4691.067,4921.724,4503.586,1587.072,1824.973,1746.103,2325.695,2469.907,2500.015
ENSG00000001167.15,553,577,604,580,547,569,517,457,521.948
ENSG00000001460.18,158.302,151.057,151.328,116.751,103.033,144.155,122.02,147.001,129.051
ENSG00000001461.17,439,499,456,369.933,447,444,1021.001,1026,1013.001
ENSG00000001497.18,1070.999,1089.317,1000.19,1711.663,1631.292,1792.413,808.001,816.873,844.002
ENSG00000001561.7,801,937,761,217,288,298,392,455,454.179
ENSG00000001617.12,5,8,14,139,157,151,1393.001,1291.546,1424
ENSG00000001626.18,6,0,0,1,1,6.999,1,0,0
ENSG00000001629.10,732,803.82,750,1358,1623,1646,1894.001,2067.822,2108.889
ENSG00000001630.18,3357.276,3927.64,3568.381,1064.377,1406.557,1248.729,2333.077,2605.848,2451.355
ENSG00000001631.17,813.958,936.253,736.061,862.992,946,772.325,1098.736,1255.491,1307.976
ENSG00000002016.18,199.999,263,240,260.988,322.999,315,261.001,302,288.999
ENSG00000002079.14,146,156,170,27,31,48,6,9,6
ENSG00000002330.14,350.894,283.907,336.796,478.618,493.933,471.759,544.735,490.553,536.781
ENSG00000002549.13,2453.098,2530,2286.457,1418.345,1914.001,2021.999,1371.997,1321,1358.99
ENSG00000002586.20,2256.002,2302.999,2332.001,1153.896,1048.23,1164.158,1782.027,1538.122,1576.46
ENSG00000002587.10,0,0,0,230,190,201.007,9,4.001,15.001
ENSG00000002726.21,1,0,0,1415.997,1434.998,1501.981,0,1,4
ENSG00000002745.13,0,6,1,21,36,22,146,179,142
ENSG00000002746.15,0,2,1.007,2,6,11.947,2.212,1,3
ENSG00000002822.16,26.441,40.447,29.14,278.481,270.5,267.096,593.747,471.342,474.907
ENSG00000002834.19,9326.743,9259.647,9139.828,9288.158,9925.638,10387.926,2492.915,2617.788,2552.661
ENSG00000002919.15,788.058,718.001,732.001,354.001,428,459.009,391.002,422,481
ENSG00000002933.9,1527,1597.001,1709.009,32.999,41,38,0,0,0
ENSG00000003056.8,3988.324,3997.279,3838.82,5935.304,6761.531,6952.262,2092.668,1932.314,1970.662
ENSG00000003096.15,13,23,18,0,0,0,0,0,2
ENSG00000003137.9,4,7,5,59,73,60.001,401,376.001,498
ENSG00000003147.19,99.457,124,94.999,208.999,185.999,184.002,718.088,760.185,764.999
ENSG00000003249.15,897.003,785,826.999,153,162.999,178.001,1123,1115,1152.667
ENSG00000003393.16,1019.272,1103.185,1090.04,1129.467,1212.983,1155.967,1088.355,1205.66,1235.159
ENSG00000003400.16,462.271,555.905,450.067,416.439,476,444.865,24.173,26.65,34.043
ENSG00000003402.21,3107.439,3018.99,2968.845,1561.708,1679.256,1598.64,1710.201,1812.987,1940.413
ENSG00000003436.16,2691.722,2952.239,2683.134,124.623,149.039,155.222,91.356,102.317,121.524
ENSG00000003509.16,523.891,544.335,527.566,700.474,695.243,709.815,314.793,267.33,327.525
ENSG00000003756.17,1598.562,1596.097,1485.597,1149.091,1206.927,1150.442,2998.316,2967.498,3278.836
ENSG00000003987.14,61.259,102.073,55.73,19.888,20.794,15.238,40.399,58.503,76.537
ENSG00000003989.18,1892.999,2127,1866,217,278,275,146,214,188
ENSG00000004059.11,2028.866,1840.864,1927,3680.802,3059.101,3451,2156.835,1864.84,1935.974
ENSG00000004139.14,83.195,117.27,72.879,107.515,155.759,136.201,624.83,674.668,729.951
ENSG00000004142.12,4604.02,4317.919,4416.527,4148.731,4499.138,4792.279,1967.777,2006.739,1994.324
ENSG00000004399.13,81,60,59,368,439.002,433,1417.001,1446.471,1472.999
ENSG00000004455.18,4015.092,4049.001,4000.008,4700.242,4420.099,4675.333,2607,2603.64,2848.18
ENSG00000004468.13,1,10,6,4,8.889,3,0,1,0
ENSG00000004478.8,4585,4692.178,4574.406,9154.679,9981.892,10969.963,2207.001,2154.372,2198.027
ENSG00000004487.18,1198.62,1253.979,1169.959,2040.132,2416.303,2408.829,3437.711,3457.61,3711.848
ENSG00000004534.15,593.004,603.001,664,1367.864,1272,1236,1286.996,1183.113,1364.046
ENSG00000004660.15,5,5,1,241.088,210.999,250.014,566.317,537.594,609.978
ENSG00000004700.16,1351.452,1434.697,1268.885,2789.388,3225.715,3348.126,785.129,775.534,787.397
ENSG00000004766.17,368.999,400,332.999,310,294,303,520.696,541,503.488
ENSG00000004776.13,4,6,9,1,1,4,10,9,15
ENSG00000004777.19,8,14,9,15,16,21.001,396.001,411,413.813
ENSG00000004779.10,1621.968,1634.001,1484,1710.993,1612.001,1665.904,1025.001,956.001,1006.999
ENSG00000004799.8,477,597.009,546.001,46,30,48,38,27,24
ENSG00000004809.14,0,0,0,0,0,0,0,0,0
ENSG00000004838.14,5,4,7,7.172,4,5,44,46.999,44
ENSG00000004846.17,1.024,0,0,4,7,4.954,4.827,2.013,2.961
ENSG00000004848.8,0,0,1,7,2,6,0,0,1
ENSG00000004864.14,846,893,880,582,635.999,567,642.999,677,700
ENSG00000004866.22,188.211,172.56,178.283,314.292,341.397,359.224,409.369,385.648,406.096
ENSG00000004897.12,1846.993,2081.993,1888.987,1910.089,2199.498,1956.609,1487.804,1585.672,1563.954
ENSG00000004939.16,0,0,3.073,1,0,1.426,1,5,1.032
ENSG00000004948.16,0,0,0,1,4,0,0,0,0
ENSG00000004961.15,1283.092,1275,1235.007,1356,1401,1458,414,433.001,399
ENSG00000004975.12,469,498.999,494,549.001,611.138,676.001,900.998,854.002,896.001
ENSG00000005001.10,2,5,1,745.001,691,694,1767.311,1657.854,1741.999
ENSG00000005007.14,1523.467,1494.999,1601,1575.978,1815,1960.002,2815.606,2696.835,2859.999
ENSG00000005020.13,50,58,29,261,398,372,706.101,795.143,792.435
ENSG00000005022.6,6257.739,6205.941,6340.142,7014.889,7494.797,7947.975,5674.612,5205.58,5228.411
ENSG00000005059.16,162.999,177,165,126,114,88,382,338.001,428
ENSG00000005073.6,0,0,0,73.754,93.868,107.729,227.108,188.536,213.658
ENSG00000005075.16,1124.883,1102.828,1233.61,1861.821,1502.687,1743.414,1143.025,1053.118,1098.088
ENSG00000005100.13,960.999,1041,914.02,1237,1630.456,1485.522,1924.631,1986.999,2055.806
ENSG00000005102.14,0,0,0,0,0,1,0,0,0
ENSG00000005108.17,2,6,11,1,0,3,0,1,0
ENSG00000005156.12,492.161,502.475,445.712,513.491,584.664,581.4,809.73,910.049,983.349
ENSG00000005175.10,981.588,1003,912,1676,1735.036,1672.949,846,863.001,844.001
ENSG00000005187.12,69.915,63.254,111.52,68.302,88.162,89.699,12.515,17.999,18.115
ENSG00000005189.20,172,174,149.001,422.999,519,554,218.001,226.001,224.997
ENSG00000005194.15,1892.079,1817,1833.299,973.001,1010.001,1083.999,1295.413,1285.001,1347
ENSG00000005206.17,321,301,298.002,253.999,239,224,1422.782,1278.34,1464.438
ENSG00000005238.20,863.042,908.001,918.001,233,235,249,108.001,106,94
ENSG00000005243.10,141,150.999,165.917,94.001,56.999,81.999,9,3,6
ENSG00000005249.14,9.008,11.006,4,38,38,29.006,380,414.889,407.944
ENSG00000005302.19,686,738.001,610,536,648.573,591,698.999,723.001,772.999
ENSG00000005339.15,524.09,580,547.047,1014.001,1361.059,1160.001,1727.004,1802.343,1997.999
ENSG00000005379.17,9,3,1,58.999,59,35,144.999,122.999,160
ENSG00000005381.9,10,21,8,87,86,102,5,3,10
ENSG00000005421.9,778.999,803,774,0,0,0,1,3,3
ENSG00000005436.14,742.959,937.999,719.956,582,511,509.293,509.496,561.97,650.966
ENSG00000005448.17,211,181,144,227,229.999,273.009,485.998,438.193,495.001
ENSG00000005469.12,1016.999,1145.999,1004.07,124,116.001,111,900,946.999,935.28
ENSG00000005471.19,376.001,388.254,412.136,3,6,5,1,1,1
ENSG00000005483.23,759.117,813.787,690.37,931.998,1075.486,1001.999,1037.999,1174.725,1234.956
ENSG00000005486.17,1228.999,1086,1251.999,1365.001,1634.001,1682.999,2168.831,2072.427,2053.001
ENSG00000005513.10,1,0,2,85,72,91,354.227,313,312
ENSG00000005700.15,2880.999,3146,2707.639,1375,1530.358,1392,1122.001,1299,1206
ENSG00000005801.18,946.245,1031.113,938.924,1798.044,1647.72,1437.891,2625.828,2977.075,3286.898
ENSG00000005810.20,465.904,410.651,449.577,341.725,479.008,438.4,1928.959,2203.562,2139.389
ENSG00000005812.11,1324.173,1682.092,1375.892,547.481,643.271,631.622,827.848,927.498,882.96
ENSG00000005844.19,26,40.266,36.031,9.595,7.019,1,3.653,5.173,13.113
ENSG00000005882.12,272,203.001,220,246.037,269.635,307.602,609.347,607,614.799
ENSG00000005884.18,128.018,128,90,2656.021,3117.802,2924.982,3596.855,3434.79,3750.417
ENSG00000005889.16,802.075,955,690.999,366.006,424,429,832.108,834.034,850.001
ENSG00000005893.17,6039.196,6723.978,5848.649,3009.033,3800,3599.672,1749.545,1933.531,1891.484
ENSG00000005961.19,2,2,0,5,3,12.999,18,22.282,20
