,Hep_D1_1,Hep_D1_2,Hep_D1_3,SW1116_D1_1,SW1116_D1_2,SW1116_D1_3,SW48_D1_1,SW48_D1_2,SW48_D1_3
ENSG00000000003.16,22.352275,20.652353,18.846832,23.057863,26.602092,26.241731,22.653335,21.019819,21.080193
ENSG00000000005.6,0,0,0.057258,0,0,0.11141,0,0,0
ENSG00000000419.14,96.235961,102.676686,97.395698,149.590713,154.000605,159.562945,55.901915,63.417598,59.995284
ENSG00000000457.14,5.388138,5.930169,5.552521,2.903845,3.219481,3.52063,4.326607,4.096282,4.925315
ENSG00000000460.17,3.855358,3.657786,2.932282,11.192118,15.397996,13.750707,7.997659,6.154504,7.167944
ENSG00000000938.13,0,0,0,0.30743,0.189479,0.642727,0.034198,0,0.028029
ENSG00000000971.17,41.26914,47.092171,47.332298,0.120801,0.046307,0.162841,0.347265,0.265883,0.361735
ENSG00000001036.14,74.588253,81.242184,77.16091,92.105888,102.379861,99.76299,56.282167,56.305276,57.148422
ENSG00000001084.13,93.619924,95.862594,92.061962,28.450718,41.761218,32.411526,56.033858,57.644595,60.507085
ENSG00000001167.15,10.204905,9.623708,10.531238,6.648687,9.563123,8.320717,9.227517,8.795546,8.512472
ENSG00000001460.18,4.131829,4.201085,4.874572,3.784737,3.559284,3.813059,4.530058,4.278055,3.965991
ENSG00000001461.17,7.51301,8.990732,6.786557,6.034832,7.486922,6.343272,16.345753,17.003523,18.259503
ENSG00000001497.18,26.484191,25.340779,24.164371,39.000339,42.303387,43.950695,21.119332,23.798215,22.788077
ENSG00000001561.7,9.81815,11.387505,9.442923,2.521828,3.717518,3.600017,5.369742,6.284584,6.055771
ENSG00000001617.12,0.090991,0.167324,0.22744,2.615193,2.925742,2.976373,32.333282,28.95003,32.220406
ENSG00000001626.18,0.377869,0,0,0.019705,0.010995,0.521557,0.023289,0,0
ENSG00000001629.10,8.374313,10.004936,8.800431,14.796777,18.541012,17.242533,28.967978,39.521723,30.137039
ENSG00000001630.18,66.055632,74.393663,69.731182,18.846888,28.063296,23.312317,51.089253,59.537458,54.234832
ENSG00000001631.17,12.922564,13.675291,11.525985,13.455243,16.635906,12.317831,19.72436,27.029195,22.646239
ENSG00000002016.18,6.152456,9.193955,7.272776,9.715325,12.516179,9.79156,9.211974,12.819992,9.508739
ENSG00000002079.14,3.054457,3.623726,3.451849,0.680652,0.386635,0.949382,0.064594,0.097666,0.183657
ENSG00000002330.14,31.681087,23.976106,30.559022,38.195654,49.708924,42.328216,59.949802,57.721077,58.478765
ENSG00000002549.13,82.557564,84.166205,75.505366,44.915989,67.042514,67.827681,51.056731,51.311513,49.893593
ENSG00000002586.20,142.203948,145.224207,150.451927,68.865694,70.49165,71.625929,128.183438,110.375955,111.478363
ENSG00000002587.10,0,0,0,3.127046,1.558391,3.32975,0.078277,0.035065,0.472567
ENSG00000002726.21,0.078421,0,0,32.049104,35.750298,34.587506,0,0.027705,0.102
ENSG00000002745.13,0,0.110622,0.055792,0.369835,1.025608,0.678493,3.668657,5.714458,3.746309
ENSG00000002746.15,0,0.021707,0.005961,0.204722,0.691347,1.76674,0.014435,0.012331,0.019056
ENSG00000002822.16,3.840491,5.464027,2.652033,12.994794,10.609468,11.199699,30.623847,17.041655,22.337711
ENSG00000002834.19,138.279787,136.260378,138.449959,130.220364,155.228261,151.374931,41.881228,44.481461,41.975914
ENSG00000002919.15,20.911704,21.941581,20.115688,7.931498,12.397566,11.223313,12.981752,15.209683,18.001087
ENSG00000002933.9,103.693091,108.8715,116.143527,2.747973,2.664124,2.099979,0,0,0
ENSG00000003056.8,111.362868,105.707553,105.498891,166.398018,195.206339,190.57831,93.985824,80.305787,85.155673
ENSG00000003096.15,0.233104,0.409044,0.326607,0,0,0,0,0,0.04118
ENSG00000003137.9,0.057085,0.099061,0.072226,0.699675,1.74578,1.243788,10.882174,11.736241,12.522276
ENSG00000003147.19,3.960439,5.320595,4.4231,7.523733,7.402104,7.37679,38.093971,47.236332,46.893157
ENSG00000003249.15,26.741795,22.471575,24.586381,4.189285,4.936797,5.168327,37.041754,36.824458,36.805361
ENSG00000003393.16,14.202675,18.171718,20.056224,15.401151,17.439799,17.383846,15.842854,17.715828,16.985297
ENSG00000003400.16,7.554229,8.086404,7.976792,5.192093,6.455041,6.420044,0.287253,0.336469,0.423087
ENSG00000003402.21,75.333483,71.161981,64.306654,36.572868,48.302306,40.991034,44.053306,39.790769,42.880667
ENSG00000003436.16,94.749705,95.520619,94.943417,2.822231,4.574108,3.535074,0.737817,0.832718,0.955286
ENSG00000003509.16,18.151071,17.256794,19.71354,29.228735,34.035528,30.858377,15.794146,14.522134,14.051077
ENSG00000003756.17,42.653566,45.449275,40.990292,35.933363,39.903634,36.102681,103.784496,112.732147,122.910855
ENSG00000003987.14,0.755505,1.274169,0.996289,0.225227,0.260767,0.183346,0.981865,0.808437,1.079037
ENSG00000003989.18,14.608803,15.621203,14.019383,1.515665,2.139136,2.007079,1.200162,1.759449,1.57339
