pc	pc_index	covariate	correlation	abs_correlation	p_value	n_cells_used	fdr
PC1	1	detected_genes	0.44423953186663	0.44423953186663	2.25159007429654e-56	1141	3.37738511144481e-55
PC1	1	pct_mito	0.0625183537738833	0.0625183537738833	0.034725987050099	1141	0.0452947657175204
PC1	1	total_counts	0.452823238306518	0.452823238306518	9.12140165824848e-59	1141	2.73642049747454e-57
PC2	2	detected_genes	-0.00915062027585383	0.00915062027585383	0.757501322980368	1141	0.757501322980368
PC2	2	pct_mito	0.0207321425539952	0.0207321425539952	0.484169491601971	1141	0.518753026716397
PC2	2	total_counts	0.0237956610627737	0.0237956610627737	0.42196376489786	1141	0.468848627664288
PC3	3	detected_genes	-0.3774287390459	0.3774287390459	6.09587405731192e-40	1141	4.57190554298394e-39
PC3	3	pct_mito	0.266764087262687	0.266764087262687	4.83226051724356e-20	1141	1.31788923197552e-19
PC3	3	total_counts	-0.246129325298526	0.246129325298526	3.3147877357932e-17	1141	7.62705286569416e-17
PC4	4	detected_genes	-0.0484463574112637	0.0484463574112637	0.101918865261167	1141	0.122302638313401
PC4	4	pct_mito	-0.0700560298327133	0.0700560298327133	0.0179467227474128	1141	0.024472803746472
PC4	4	total_counts	0.0610416521722212	0.0610416521722212	0.039248717066124	1141	0.0490608963326551
PC5	5	detected_genes	0.288200803518766	0.288200803518766	2.9041285197535e-23	1141	1.08904819490756e-22
PC5	5	pct_mito	-0.272918190083062	0.272918190083062	6.14470829083366e-21	1141	1.8434124872501e-20
PC5	5	total_counts	0.283084637517805	0.283084637517805	1.81033902495136e-22	1141	6.03446341650452e-22
PC6	6	detected_genes	-0.175379045960779	0.175379045960779	2.46344890857183e-09	1141	4.34726277983265e-09
PC6	6	pct_mito	0.262970268412172	0.262970268412172	1.67800428294271e-19	1141	4.19501070735678e-19
PC6	6	total_counts	-0.163407317808984	0.163407317808984	2.840621668871e-08	1141	4.73436944811833e-08
PC7	7	detected_genes	0.395109314515338	0.395109314515338	6.22610433260336e-44	1141	6.22610433260336e-43
PC7	7	pct_mito	-0.0398560946604029	0.0398560946604029	0.178513639752448	1141	0.20597727663744
PC7	7	total_counts	0.355757967561407	0.355757967561407	2.24398874065835e-35	1141	1.34639324439501e-34
PC8	8	detected_genes	0.197597452857526	0.197597452857526	1.65326386438391e-11	1141	3.30652772876783e-11
PC8	8	pct_mito	-0.193858794882784	0.193858794882784	4.00579751713412e-11	1141	7.51087034462647e-11
PC8	8	total_counts	0.0177508978446456	0.0177508978446456	0.549178165177209	1141	0.568115343286768
PC9	9	detected_genes	0.318198989776448	0.318198989776448	2.91581399488346e-28	1141	1.45790699744173e-27
PC9	9	pct_mito	-0.245893835944397	0.245893835944397	3.55929133732394e-17	1141	7.62705286569416e-17
PC9	9	total_counts	0.293128210563043	0.293128210563043	4.80783585860691e-24	1141	2.0605010822601e-23
PC10	10	detected_genes	-0.071760030465801	0.071760030465801	0.0153324747349804	1141	0.0219035353356862
PC10	10	pct_mito	-0.120923362534598	0.120923362534598	4.21819104203873e-05	1141	6.3272865630581e-05
PC10	10	total_counts	-0.15917424890284	0.15917424890284	6.46995241820299e-08	1141	1.0215714344531e-07
