reduction	dimension	dimension_index	covariate	correlation	abs_correlation	p_value	n_cells_used	fdr
PCA_regressed	PC1	1	detected_genes	0.142203000302896	0.142203000302896	1.41631986775251e-06	1141	1.06223990081438e-05
PCA_regressed	PC1	1	pct_mito	-4.24814013189895e-17	4.24814013189895e-17	0.999999999999999	1141	1
PCA_regressed	PC1	1	total_counts	0.175903139942797	0.175903139942797	2.2045937947893e-09	1141	6.61378138436789e-08
PCA_regressed	PC2	2	detected_genes	-0.0284854813480254	0.0284854813480254	0.336379880854735	1141	0.720814030403004
PCA_regressed	PC2	2	pct_mito	5.84186465178307e-18	5.84186465178307e-18	1	1141	1
PCA_regressed	PC2	2	total_counts	0.00772312749932809	0.00772312749932809	0.794404780676941	1141	1
PCA_regressed	PC3	3	detected_genes	0.0158267910146736	0.0158267910146736	0.593302953172919	1141	1
PCA_regressed	PC3	3	pct_mito	2.84456562189641e-17	2.84456562189641e-17	0.999999999999999	1141	1
PCA_regressed	PC3	3	total_counts	0.140608944789478	0.140608944789478	1.85983809309101e-06	1141	1.11590285585461e-05
PCA_regressed	PC4	4	detected_genes	-0.0927662755121469	0.0927662755121469	0.0017077060101572	1141	0.00569235336719066
PCA_regressed	PC4	4	pct_mito	-2.30767628213201e-17	2.30767628213201e-17	0.999999999999999	1141	1
PCA_regressed	PC4	4	total_counts	-0.0235562212063435	0.0235562212063435	0.426650452215337	1141	0.853300904430674
PCA_regressed	PC5	5	detected_genes	-0.0351582176398274	0.0351582176398274	0.23536027938198	1141	0.588400698454949
PCA_regressed	PC5	5	pct_mito	-1.17291527293851e-17	1.17291527293851e-17	1	1141	1
PCA_regressed	PC5	5	total_counts	-0.0122218108587815	0.0122218108587815	0.680046499520391	1141	1
PCA_regressed	PC6	6	detected_genes	-0.0013320061172425	0.0013320061172425	0.964151843990129	1141	1
PCA_regressed	PC6	6	pct_mito	-1.78356119334795e-17	1.78356119334795e-17	1	1141	1
PCA_regressed	PC6	6	total_counts	-0.0361925285338059	0.0361925285338059	0.221860260606439	1141	0.588400698454949
PCA_regressed	PC7	7	detected_genes	0.0841600974174004	0.0841600974174004	0.00444462773835581	1141	0.0133338832150674
PCA_regressed	PC7	7	pct_mito	2.50353842261157e-17	2.50353842261157e-17	0.999999999999999	1141	1
PCA_regressed	PC7	7	total_counts	0.118934050014945	0.118934050014945	5.64125402456528e-05	1141	0.000282062701228264
PCA_regressed	PC8	8	detected_genes	-0.0325609294575792	0.0325609294575792	0.271789247546742	1141	0.627205955877096
PCA_regressed	PC8	8	pct_mito	-2.83716940654986e-17	2.83716940654986e-17	0.999999999999999	1141	1
PCA_regressed	PC8	8	total_counts	-0.16764980285178	0.16764980285178	1.21825519287428e-08	1141	1.82738278931142e-07
PCA_regressed	PC9	9	detected_genes	0.109126001898595	0.109126001898595	0.000221513000117492	1141	0.000949341429074967
PCA_regressed	PC9	9	pct_mito	-2.68011958644166e-17	2.68011958644166e-17	0.999999999999999	1141	1
PCA_regressed	PC9	9	total_counts	0.150379974405702	0.150379974405702	3.34105252411715e-07	1141	3.34105252411715e-06
PCA_regressed	PC10	10	detected_genes	-0.000971585041803262	0.000971585041803262	0.973847709174598	1141	1
PCA_regressed	PC10	10	pct_mito	-5.76058048868712e-17	5.76058048868712e-17	0.999999999999998	1141	1
PCA_regressed	PC10	10	total_counts	-0.100679913077729	0.100679913077729	0.000659789448726258	1141	0.00247421043272347
