"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000971.17",893.277292113289,-8.38829657625967,0.196877476071843,0,0
"ENSG00000004799.8",198.249578298345,-5.34945217656544,0.13207516819181,0,0
"ENSG00000008513.17",693.977082508297,-5.22343334920786,0.139179159349987,0,0
"ENSG00000011426.11",4025.84577551836,5.64355971742858,0.142233925405599,0,0
"ENSG00000013810.21",1957.57372100541,4.48657468561802,0.0937869010827943,0,0
"ENSG00000023839.12",2771.51820434865,-9.59560484126427,0.221444117218154,0,0
"ENSG00000025423.11",541.780386098129,-7.01108403285964,0.18249437179129,0,0
"ENSG00000026025.16",3961.22820624574,-8.68077054550154,0.146001458498864,0,0
"ENSG00000054179.12",423.947064802149,7.22692972755648,0.166261773349736,0,0
"ENSG00000062038.15",985.998112382572,7.4902005163275,0.157832804448319,0,0
"ENSG00000062282.15",1185.94342794868,-3.92217596677294,0.0982661602047989,0,0
"ENSG00000065911.13",3255.42818697782,5.62404884619692,0.107297658645019,0,0
"ENSG00000069424.16",355.72390844158,5.85851104465795,0.13884585472802,0,0
"ENSG00000069667.16",321.093121831347,-4.8456855813446,0.120917116422003,0,0
"ENSG00000071282.12",432.654638486172,-3.98883958054204,0.0847635266470532,0,0
"ENSG00000072071.17",952.929123272875,8.35519926786493,0.183402127202435,0,0
"ENSG00000072609.18",375.196114265114,-6.47411720785377,0.14166622955631,0,0
"ENSG00000073008.16",2984.81255960975,-2.80994006244836,0.0699259739113435,0,0
"ENSG00000073712.15",1163.03912160221,-6.41684719814023,0.107999496538585,0,0
"ENSG00000076242.17",654.135620317943,-5.50223954825466,0.110773486936162,0,0
"ENSG00000076382.17",1471.01891412608,4.00194228954567,0.0848234056259758,0,0
"ENSG00000080819.9",2453.13231189727,3.65676291979585,0.0787381475502305,0,0
"ENSG00000081059.20",1004.64333731728,4.56047344401725,0.103242807831181,0,0
"ENSG00000082014.17",337.917637249249,5.67620160735507,0.151004647943537,0,0
"ENSG00000082458.12",747.133562250079,4.87686398653252,0.0929588488609916,0,0
"ENSG00000084207.18",7550.18169536368,6.00403090950002,0.140437998629033,0,0
"ENSG00000085999.13",414.405040778149,6.00528658018358,0.139264080314664,0,0
"ENSG00000091513.16",3332.20356647722,-6.17765413084018,0.143387703113023,0,0
"ENSG00000093009.11",677.164150350012,5.33815574251229,0.127686458572554,0,0
"ENSG00000099812.9",1018.46813518951,7.05776356552657,0.184313693368204,0,0
"ENSG00000100024.15",153.065262799986,-7.01033242243262,0.183372980659712,0,0
"ENSG00000100097.12",2512.85164414015,-7.8324016353488,0.18309963495865,0,0
"ENSG00000100342.22",3515.75741780802,-9.06781560301892,0.138736432104614,0,0
"ENSG00000101188.5",1360.4387716619,8.59864412689491,0.202639642249812,0,0
"ENSG00000101311.17",1375.67043159408,5.38240497417047,0.128710898991075,0,0
"ENSG00000101577.11",2076.21124458734,-4.35096466260853,0.115750223083977,0,0
"ENSG00000102038.16",814.977401069686,-6.62066439122931,0.155310322531884,0,0
"ENSG00000102554.14",1985.30697706475,4.60156050751163,0.115052534606678,0,0
"ENSG00000103196.12",557.812709566682,6.34830274795776,0.158633570660138,0,0
"ENSG00000103485.19",1319.46904559731,-10.5579355485358,0.2546720576224,0,0
"ENSG00000103942.13",302.229481710101,-5.99481946831543,0.152964970272141,0,0
"ENSG00000105281.12",9212.61944680079,9.96766971392202,0.225463427597386,0,0
"ENSG00000105329.11",799.269969903099,6.13783797632099,0.161286735897771,0,0
"ENSG00000105499.14",198.287071139784,-6.24638084145202,0.140884967402163,0,0
"ENSG00000105963.15",1292.08691425422,7.23574975180955,0.189765651477533,0,0
"ENSG00000106258.16",3525.35670909621,-6.3374453660009,0.159293896791343,0,0
"ENSG00000106348.19",1626.59671966495,4.60178598260621,0.0819446166137419,0,0
"ENSG00000106366.9",8927.22105011527,-12.2603281018435,0.213686115425373,0,0
"ENSG00000106565.19",948.639294296688,-10.6885872690701,0.279869047734655,0,0
"ENSG00000106853.20",5886.94315901983,-6.32104263547624,0.134485457726347,0,0
"ENSG00000106927.12",4992.66996738128,-13.7910556071447,0.305170997102725,0,0
"ENSG00000106993.12",666.978137342039,-3.37948798436634,0.0888363895898389,0,0
"ENSG00000107438.9",3239.56371714908,-4.72884590146874,0.122616348702862,0,0
"ENSG00000108176.15",187.372060338311,-6.67423436490123,0.158467818833956,0,0
"ENSG00000108375.13",2152.60735237929,5.13487315647841,0.131307964121991,0,0
"ENSG00000108602.18",2208.30651201172,8.21404288073789,0.21722803237777,0,0
"ENSG00000108861.9",1925.4423495825,-2.3160052615651,0.061261152523141,0,0
"ENSG00000109072.14",2772.63559234679,-11.7719711157463,0.22065020748394,0,0
"ENSG00000109790.18",1557.33710014828,-4.41770097681322,0.116792301237309,0,0
"ENSG00000110881.12",569.041753286032,6.93619928520691,0.153426597705858,0,0
"ENSG00000111206.13",2208.68336997726,6.23528280253021,0.157918124140307,0,0
"ENSG00000111859.17",1247.46576775905,-9.19227252677213,0.199509859185137,0,0
"ENSG00000112655.16",1871.03652887389,9.47513582635628,0.200991446297833,0,0
"ENSG00000112874.10",321.152775671741,-5.62339626678531,0.130387625948507,0,0
"ENSG00000113758.14",1899.34389082678,4.55621140423622,0.107669893056575,0,0
"ENSG00000113924.12",1127.1308631511,-9.70559294761562,0.233566114091817,0,0
"ENSG00000114120.14",1989.640337206,7.49586039268131,0.169345821604193,0,0
"ENSG00000114378.17",675.970643056394,-6.88775215196904,0.115689699047858,0,0
"ENSG00000115414.21",10171.1315994431,-10.1622783869588,0.21961058035716,0,0
"ENSG00000115718.18",726.193888300835,-8.88464206669179,0.18789773294285,0,0
"ENSG00000116285.13",6400.36348354742,-6.37124692529214,0.131444026928471,0,0
"ENSG00000116771.6",770.062895546954,-3.90286383893669,0.0925482385317764,0,0
"ENSG00000117228.11",2019.3551503167,-10.4077591033151,0.176026464657677,0,0
"ENSG00000117394.24",9346.13503010835,5.86392280119844,0.150966038122081,0,0
"ENSG00000117601.15",941.329798708605,-11.2611598773185,0.298196676033962,0,0
"ENSG00000118804.9",2049.52483148131,-6.46958104771414,0.103913685970705,0,0
"ENSG00000119673.16",541.97542391194,-7.18088414039688,0.138038026377194,0,0
"ENSG00000119888.11",7249.78563268725,5.80651487243536,0.153363182092224,0,0
"ENSG00000119929.13",414.944068476802,-3.55509362202772,0.089361467002295,0,0
"ENSG00000120129.6",4524.36861797647,-6.7481976131197,0.135608648747181,0,0
"ENSG00000120708.17",6859.71311752387,-9.45289985640099,0.183405582742168,0,0
"ENSG00000120875.9",914.593697082827,8.84068491724636,0.190068798167963,0,0
"ENSG00000120885.22",10594.9299264286,-4.69938522392533,0.0908626658894714,0,0
"ENSG00000122194.20",338.927338767755,-8.90525992158125,0.226915735443788,0,0
"ENSG00000125378.16",6090.39850228446,8.70207975416634,0.156081561798447,0,0
"ENSG00000125398.8",2351.18677885666,5.65914384289739,0.107166665097615,0,0
"ENSG00000125730.18",3785.3402217417,-10.7960614296385,0.218043717039741,0,0
"ENSG00000125848.10",375.377504147903,-6.78302978385743,0.160811261864861,0,0
"ENSG00000126218.12",177.499985401962,-5.4163648158304,0.141898260248079,0,0
"ENSG00000127564.17",845.260214545599,6.14282339344453,0.152673920368593,0,0
"ENSG00000127831.11",2633.34728263172,-8.18711350186903,0.181028128287944,0,0
"ENSG00000128567.17",1944.37611735346,6.68725316056802,0.148644974380234,0,0
"ENSG00000129353.15",1436.23478700585,5.39671575080719,0.0957518343999632,0,0
"ENSG00000129354.12",885.195772663809,7.18420862651365,0.161089895770896,0,0
"ENSG00000129451.12",1320.79293246287,9.60322333584816,0.211281261255808,0,0
"ENSG00000130147.16",1587.86731283142,-4.19309544849951,0.0936918923620099,0,0
"ENSG00000130203.10",5021.4027137193,-9.90667220518511,0.189444496921165,0,0
"ENSG00000130303.14",369.524227964615,-7.8791326897825,0.19378392170584,0,0
"ENSG00000131747.15",5915.2221368145,6.42286442994659,0.16445192641634,0,0
"ENSG00000131981.16",5748.05345362576,7.23090544912819,0.124104521981287,0,0
"ENSG00000132359.17",774.081996697892,4.45501481114372,0.111542187046703,0,0
"ENSG00000132386.11",756.281529286088,-6.58389407710326,0.14678807571774,0,0
"ENSG00000132470.14",3801.1712382054,9.04977298643965,0.189912152390419,0,0
"ENSG00000132840.10",1248.41220555625,-9.36554479100753,0.187480209381753,0,0
"ENSG00000133818.14",1428.70769893536,-7.81073117658822,0.132094296011694,0,0
"ENSG00000134716.11",286.75951748453,-5.32680409110913,0.124382013813857,0,0
"ENSG00000134824.14",941.746860422719,-4.95371812715871,0.129610950733877,0,0
"ENSG00000135046.14",7760.50649794341,6.5371046557412,0.106517615943117,0,0
"ENSG00000135218.19",8013.42930285451,11.7776896263566,0.221607836859141,0,0
"ENSG00000135373.13",2205.59260683037,6.01376644646573,0.109869705252788,0,0
"ENSG00000135414.10",496.994717235355,4.6569951172739,0.116977651771726,0,0
"ENSG00000135476.12",790.021811312044,5.95177982930319,0.151480365387042,0,0
"ENSG00000135744.9",2401.22191257226,-9.11232919870146,0.234415319508833,0,0
