"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000971.17",893.277292113289,-8.40122381311137,0.196917702920717,-42.6636289602355,0,0
"ENSG00000004799.8",198.249578298345,-5.35562901772134,0.132361872562651,-40.4620221369744,0,0
"ENSG00000008513.17",693.977082508297,-5.23078848830642,0.139135773437603,-37.594849685816,0,0
"ENSG00000011426.11",4025.84577551836,5.65921134075986,0.142161157127861,39.8084220408386,0,0
"ENSG00000013810.21",1957.57372100541,4.49036153695296,0.0937214140467129,47.9117988415631,0,0
"ENSG00000023839.12",2771.51820434865,-9.60849416638953,0.22087296373621,-43.5023553985767,0,0
"ENSG00000025423.11",541.780386098129,-7.01749371943777,0.182393475293082,-38.4744778186916,0,0
"ENSG00000026025.16",3961.22820624574,-8.68041788578325,0.145984256149177,-59.4613290142261,0,0
"ENSG00000054179.12",423.947064802149,7.23418481914604,0.166320208642934,43.4955251569989,0,0
"ENSG00000062038.15",985.998112382572,7.49708816092297,0.157966358766848,47.4600302206646,0,0
"ENSG00000062282.15",1185.94342794868,-3.92671249163455,0.0982567760112892,-39.9637831713855,0,0
"ENSG00000065911.13",3255.42818697782,5.62939945946073,0.107284580137718,52.471654847644,0,0
"ENSG00000069424.16",355.72390844158,5.8661488384718,0.138796339023277,42.2644349249588,0,0
"ENSG00000069667.16",321.093121831347,-4.85156714465367,0.120803545634865,-40.160800903293,0,0
"ENSG00000071282.12",432.654638486172,-3.99225242219747,0.0847496196839817,-47.1064346611107,0,0
"ENSG00000072071.17",952.929123272875,8.36260807267647,0.183633688832825,45.5396181704412,0,0
"ENSG00000072609.18",375.196114265114,-6.48107647407178,0.14183440826924,-45.6946699546202,0,0
"ENSG00000073008.16",2984.81255960975,-2.81440606296268,0.0698794574844603,-40.2751561657236,0,0
"ENSG00000073712.15",1163.03912160221,-6.42039608224804,0.107905714700259,-59.5000561377369,0,0
"ENSG00000076242.17",654.135620317943,-5.50431624098272,0.110649864785537,-49.745349907578,0,0
"ENSG00000076382.17",1471.01891412608,4.00478399520579,0.0848462284614405,47.2004951525431,0,0
"ENSG00000080819.9",2453.13231189727,3.65575708755644,0.0787381823011389,46.4292796800259,0,0
"ENSG00000081059.20",1004.64333731728,4.56401930387144,0.10320611307736,44.2223737313934,0,0
"ENSG00000082014.17",337.917637249249,5.68361851793225,0.150884685464885,37.6686242239939,0,0
"ENSG00000082458.12",747.133562250079,4.87919034130353,0.0929647961704839,52.4842794508559,0,0
"ENSG00000084207.18",7550.18169536368,6.01030893814315,0.140379346476873,42.8147664808607,0,0
"ENSG00000085999.13",414.405040778149,6.00780501485106,0.139149684434804,43.1751249688669,0,0
"ENSG00000091513.16",3332.20356647722,-6.18633902747048,0.143243052831368,-43.1877072234233,0,0
"ENSG00000093009.11",677.164150350012,5.34192768616348,0.127511497616529,41.8936941845707,0,0
"ENSG00000099812.9",1018.46813518951,7.06816062483116,0.184718656061846,38.2644654065947,0,0
"ENSG00000100024.15",153.065262799986,-7.01974701639472,0.183697032180829,-38.2137203473411,0,0
"ENSG00000100097.12",2512.85164414015,-7.84158757702196,0.183139950671799,-42.8174603534469,0,0
"ENSG00000100342.22",3515.75741780802,-9.0726629440111,0.138743355956788,-65.3916930396063,0,0
"ENSG00000101188.5",1360.4387716619,8.60894133508619,0.202682280403821,42.475056615378,0,0
"ENSG00000101311.17",1375.67043159408,5.39459395518973,0.128672297761286,41.9250611751553,0,0
"ENSG00000101577.11",2076.21124458734,-4.35435252191832,0.11580052930857,-37.6021815091657,0,0
"ENSG00000102038.16",814.977401069686,-6.62654746464101,0.155322217741443,-42.6632297748406,0,0
"ENSG00000102554.14",1985.30697706475,4.60804622247323,0.115155848982046,40.0157374827887,0,0
"ENSG00000103196.12",557.812709566682,6.35515837039324,0.158318003208422,40.1417289354441,0,0
"ENSG00000103485.19",1319.46904559731,-10.5764944231086,0.255869190883946,-41.3355526961658,0,0
"ENSG00000103942.13",302.229481710101,-6.00194548189105,0.152708626111528,-39.303251130736,0,0
"ENSG00000105281.12",9212.61944680079,9.97729770593215,0.225287581594591,44.2869404310375,0,0
"ENSG00000105329.11",799.269969903099,6.14695088326381,0.161213968661538,38.1291455963663,0,0
"ENSG00000105499.14",198.287071139784,-6.25112054619949,0.14088395324516,-44.370706543999,0,0
"ENSG00000105963.15",1292.08691425422,7.24598521884976,0.189555638950001,38.2261654624848,0,0
"ENSG00000106258.16",3525.35670909621,-6.34430919449885,0.159224354416573,-39.8450929052001,0,0
"ENSG00000106348.19",1626.59671966495,4.60430361540363,0.0819641253753318,56.1746202295152,0,0
"ENSG00000106366.9",8927.22105011527,-12.271261571225,0.214820709612173,-57.1232708121064,0,0
"ENSG00000106565.19",948.639294296688,-10.7039270892131,0.280957342484735,-38.0980507380572,0,0
