pathway,pval,padj,log2err,ES,NES,size,leadingEdge
REACTOME_CELL_CYCLE_CHECKPOINTS,1.02688176653564e-33,1.14600005145378e-30,1.50926283727233,0.642817818485131,2.78971909462249,274,CDC45|PKMYT1|CDK1|BIRC5|CENPF|EXO1|KIF2C|GTSE1|BUB1B|MCM2|NDC80|CENPM|MCM5|RMI2|AURKB|CDCA8|UBE2C|CCNB2|CDC20|CLSPN|CCNA2|ORC1|NUF2|MCM10|MCM3|CDC25A|BUB1|PLK1|SPC25|ZWINT|ERCC6L|BLM|CENPE|CDC6|NSD2|CENPI|CENPA|CCNB1|CHEK1|BRIP1|CCNE1|SKA1|SPC24|ORC6|H2AX|MCM7|CDC7|RHNO1|CENPK|KIF18A|SGO1|MAD2L1|CENPP|MCM4|RFC5|NDE1|BARD1|RCC2|CDC25C|TOPBP1|INCENP|CENPU|BRCA1|CENPO|RFC3|MCM6|MCM8|KNL1|RFC2|RFC4|KNTC1|DNA2|CKAP5|UBE2S|NUP160|CDKN2A|CCNE2|DSN1|CDK2|SGO2|DBF4|TP53BP1|CENPH|TP53|MDC1|ZNF385A|CENPS|NUP107|ZWILCH|ITGB3BP|MRE11|RBBP8|PPP2R5C|ORC3|CENPN|SFN|CENPL|MAD1L1|RAD9A|SKA2|CHEK2|H2BC9|KIF2A|PPP1CC|NUP43|XPO1|H2BC26
REACTOME_BIOLOGICAL_OXIDATIONS,6.8033099352711e-25,3.79624694388127e-22,1.29512308741004,-0.665502787441504,-2.78437851208858,192,CES1|UGT2B4|FMO3|UGT2B7|GSTA1|SULT2A1|ADH6|GSTA2|UGT2B10|ACSM5|CYP2C8|UGT2B15|CYP2A6|CYP2C18|NR1H4|NNMT|ADH4|CYP3A4|CYP21A2|UGT2A3|GSTM1|ADH1A|CYP8B1|UGT3A1|ADH1B|ADH1C|CYP2A7|UGT2B11|ACSM2B|CYP2C19|CYP2C9|ACSM2A|CYP7B1|GLYAT|AADAC|CYP1A2|CYP4A11|SULT1E1|UGDH|GLYATL1|ADH5|TPST2|MAT1A|CYP4A22|CNDP2|UGT2B17|FMO1|CYP2R1|SLC35D1|CYP3A43|CYB5R3|GCLC|CYP3A5|ALDH1B1|CYP4F11|NAT2|POMC|MGST1|CYP4F2|CYP3A7|CYP39A1|TPMT|ARNT|CYP4V2|CYP4F3|ACY1|MGST2|CYP2J2|MTARC2|CYP4F22|UGT1A7|CYP7A1|GCLM|AKR1A1|FDX1|UGT1A1|UGT2A1|CYP1A1|NQO2|EPHX1|UGT1A6|UGP2|PAOX|CYP2U1|CYP2E1|MAOB|SULT1B1|AS3MT|GGT1|ESD|AKR7A3|BPNT1|CYP51A1|UGT1A4|GSTA4|ACSS2|GSTO1|ACSM1|CYP11A1|NCOA2|CYP4F12|UGT1A3
REACTOME_M_PHASE,8.13958548494714e-24,3.02792580040034e-21,1.26273988547916,0.537449055111555,2.41288414718073,375,KIF23|CDK1|NCAPG2|CDCA5|BIRC5|CENPF|ESPL1|LMNB1|KIF2C|BUB1B|PLK4|NCAPD2|NDC80|CENPM|AURKB|CDCA8|UBE2C|NCAPH|CCNB2|CDC20|VRK1|NUF2|NEK2|BUB1|TUBB3|KIF20A|PLK1|SPC25|ZWINT|CEP72|ERCC6L|CENPE|NCAPG|CENPI|CENPA|CCNB1|NCAPD3|SKA1|SPC24|H2AX|FBXO5|CENPK|KIF18A|SGO1|MAD2L1|CEP131|ODF2|CENPP|NDE1|RCC2|TMPO|INCENP|CENPU|NUMA1|CEP135|CENPO|TUBA1A|NUP205|CCP110|NUP188|KNL1|HAUS8|KNTC1|CKAP5|UBE2S|NUP210|NUP214|NUP160|CEP192|NUP155|NCAPH2|DSN1|FIRRM|HAUS5|SGO2|PTTG1|CNTRL|H2AZ2|ALMS1|CENPH|SMC4|CENPS|NUP107|PRKAR2B|CEP152|SMC1A|ZWILCH|ITGB3BP|PCNT|CEP250|NUP62|CEP164|NDC1|HAUS7|MZT1|PPP2R5C|SFI1|CTDNEP1|MASTL|CENPN|CENPL|KMT5A|MAD1L1|PHF8|AAAS|SKA2|TUBB2B|H2BC9|KIF2A|PPP1CC|NUP43|XPO1|H2BC26|SMC2|NUP93|CEP57|SMC3|MAPK3
REACTOME_MITOTIC_PROMETAPHASE,1.73241287805762e-22,4.83343192978076e-20,1.22950405660873,0.629551868761274,2.63393785671961,199,CDK1|CDCA5|BIRC5|CENPF|KIF2C|BUB1B|PLK4|NCAPD2|NDC80|CENPM|AURKB|CDCA8|NCAPH|CCNB2|CDC20|NUF2|NEK2|BUB1|TUBB3|PLK1|SPC25|ZWINT|CEP72|ERCC6L|CENPE|NCAPG|CENPI|CENPA|CCNB1|SKA1|SPC24|CENPK|KIF18A|SGO1|MAD2L1|CEP131|ODF2|CENPP|NDE1|RCC2|INCENP|CENPU|NUMA1|CEP135|CENPO|TUBA1A|CCP110|KNL1|HAUS8|KNTC1|CKAP5|NUP160|CEP192|DSN1|FIRRM|HAUS5|SGO2|CNTRL|ALMS1|CENPH|SMC4|CENPS|NUP107|PRKAR2B|CEP152|SMC1A|ZWILCH|ITGB3BP|PCNT|CEP250|CEP164|HAUS7|MZT1|PPP2R5C|SFI1|CENPN|CENPL|MAD1L1|SKA2|TUBB2B|KIF2A|PPP1CC|NUP43|XPO1|SMC2|CEP57|SMC3
REACTOME_COMPLEMENT_CASCADE,1.97368999670126e-20,4.40527607263722e-18,1.16906996676109,-0.865763151411808,-2.95149877147105,49,VTN|CPN2|CFHR1|F2|CRP|CLU|C2|SERPING1|C4BPA|C8G|C8B|CFI|C9|C8A|C6|C1S|CPB2|CFHR3|MBL2|MASP1|CFH|CFHR4|CPN1|CFHR5|C4A|CFHR2|C5|C4B
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,1.59915407306137e-18,2.97442657589414e-16,1.11466447751729,0.575313012956867,2.44868046605902,219,CDK1|CDCA5|BIRC5|CENPF|ESPL1|LMNB1|KIF2C|BUB1B|NDC80|CENPM|AURKB|CDCA8|UBE2C|CCNB2|CDC20|VRK1|NUF2|BUB1|TUBB3|PLK1|SPC25|ZWINT|ERCC6L|CENPE|CENPI|CENPA|CCNB1|SKA1|SPC24|FBXO5|CENPK|KIF18A|SGO1|MAD2L1|CENPP|NDE1|RCC2|TMPO|INCENP|CENPU|CENPO|TUBA1A|NUP205|NUP188|KNL1|KNTC1|CKAP5|UBE2S|NUP160|NUP155|DSN1|SGO2|PTTG1|CENPH|CENPS|NUP107|SMC1A|ZWILCH|ITGB3BP|NUP62|NDC1|PPP2R5C|CENPN|CENPL|MAD1L1|SKA2|TUBB2B|KIF2A|PPP1CC|NUP43|XPO1|NUP93|SMC3
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,4.30952535892838e-18,6.87061471509154e-16,1.0959292864312,0.648506013208198,2.58651971706264,138,CDC45|CDK1|CDT1|TK1|TOP2A|E2F1|MCM2|MCM5|CCNA2|ORC1|MCM10|MCM3|CDC25A|E2F4|CDC6|CCNB1|RRM2|CCNE1|ORC6|MCM7|CDC7|FBXO5|MYBL2|E2F2|MCM4|RBL1|CCND2|POLA2|POLE2|MCM6|MCM8|PRIM1|POLA1|LIN9|POLE|CDKN2A|CCNE2|CDK2|DBF4|CDKN1C|CCND1|PRIM2|DHFR|PPP2R3B|HDAC1|TFDP1|CKS1B|PTK6|ORC3|RBBP4|PCNA|SRC
REACTOME_SYNTHESIS_OF_DNA,1.31032386959444e-17,1.62480159829711e-15,1.0864405425825,0.691526921379162,2.63840160246362,107,CDC45|CDT1|MCM2|MCM5|UBE2C|CCNA2|ORC1|MCM3|GINS2|CDC6|CCNE1|ORC6|MCM7|LIG1|MCM4|RFC5|POLA2|GINS1|POLE2|POLD1|POLD3|RFC3|GINS4|MCM6|MCM8|RFC2|RFC4|PRIM1|GINS3|POLA1|DNA2|UBE2S|POLE|CCNE2|CDK2|FEN1
REACTOME_MITOTIC_SPINDLE_CHECKPOINT,1.18956908324725e-17,1.62480159829711e-15,1.0864405425825,0.687970025425964,2.63524233116037,110,BIRC5|CENPF|KIF2C|BUB1B|NDC80|CENPM|AURKB|CDCA8|UBE2C|CDC20|NUF2|BUB1|PLK1|SPC25|ZWINT|ERCC6L|CENPE|CENPI|CENPA|SKA1|SPC24|CENPK|KIF18A|SGO1|MAD2L1|CENPP|NDE1|RCC2|INCENP|CENPU|CENPO|KNL1|KNTC1|CKAP5|UBE2S|NUP160|DSN1|SGO2|CENPH|CENPS|NUP107|ZWILCH|ITGB3BP|PPP2R5C|CENPN|CENPL|MAD1L1|SKA2|KIF2A|PPP1CC|NUP43|XPO1
REACTOME_S_PHASE,1.74414320161119e-17,1.94646381299808e-15,1.07686819261983,0.632728676894666,2.557308174161,149,CDC45|CDCA5|CDT1|E2F1|MCM2|MCM5|UBE2C|CCNA2|ORC1|MCM3|CDC25A|GINS2|E2F4|CDC6|CCNE1|ORC6|MCM7|LIG1|MCM4|RFC5|POLA2|GINS1|POLE2|POLD1|POLD3|RFC3|GINS4|MCM6|MCM8|RFC2|RFC4|PRIM1|GINS3|POLA1|LIN9|DNA2|UBE2S|POLE|ESCO2|CCNE2|CDK2|FEN1|CDC25B|CCND1|PRIM2|SMC1A|TFDP1|CKS1B|PTK6|ORC3|RBBP4|PCNA
