"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000007933.13",435.551571032803,-11.1898898477176,0.249854688951433,0,0
"ENSG00000013810.21",1957.57372100541,4.59981240582898,0.106608790259464,0,0
"ENSG00000021852.14",232.894708138675,-15.2068546797556,1.328942321671,0,0
"ENSG00000025423.11",541.780386098129,-6.97608743397035,0.150144890074011,0,0
"ENSG00000047457.14",1046.45392465216,-12.2636655106921,0.266388417109723,0,0
"ENSG00000055957.11",646.329243580716,-14.5589073725685,0.634955186316652,0,0
"ENSG00000062282.15",1185.94342794868,-3.73047067640645,0.0983498210599694,0,0
"ENSG00000065911.13",3255.42818697782,5.95074839831881,0.119183472418267,0,0
"ENSG00000071282.12",432.654638486172,-4.06372839100731,0.0693035588244684,0,0
"ENSG00000072080.11",96.9274519253517,-8.22258902356672,0.204489443590804,0,0
"ENSG00000082458.12",747.133562250079,5.18952409863049,0.111618985703045,0,0
"ENSG00000084674.15",5589.07265217385,-18.9154461339857,1.01534704844026,0,0
"ENSG00000089685.15",1794.52816904521,5.85374544707556,0.153005350809091,0,0
"ENSG00000091583.11",3073.35500777631,-16.5637545790455,0.586410561155414,0,0
"ENSG00000093009.11",677.164150350012,5.34735623679844,0.116921969794312,0,0
"ENSG00000101323.5",254.25927001027,-18.2645201446396,3.79431280820002,0,0
"ENSG00000101981.12",200.167690618122,-17.8915035503643,3.75805681830219,0,0
"ENSG00000102554.14",1985.30697706475,4.49838001642359,0.100175049414509,0,0
"ENSG00000103569.11",621.48207976982,-15.758634840543,0.987507754170761,0,0
"ENSG00000104760.17",3631.2563225466,-15.5022848181816,0.379481651995468,0,0
"ENSG00000105281.12",9212.61944680079,10.5069962542335,0.249694571756909,0,0
"ENSG00000105398.4",691.455114146233,-12.3823537090117,0.295168941860299,0,0
"ENSG00000106348.19",1626.59671966495,4.38695086136363,0.0847602234660892,0,0
"ENSG00000106462.12",1701.29619716446,2.87843290489065,0.0760530403701486,0,0
"ENSG00000106927.12",4992.66996738128,-15.0225054618906,0.271565225859478,0,0
"ENSG00000106993.12",666.978137342039,-3.17284852795756,0.0827301628424432,0,0
"ENSG00000107186.17",221.243519622676,-14.255135250961,0.981504906099497,0,0
"ENSG00000109072.14",2772.63559234679,-12.1767848461859,0.196096476570552,0,0
"ENSG00000110243.12",283.064775351641,-13.6698063446958,0.704991425825318,0,0
"ENSG00000110244.7",1671.29488419373,-15.9388672004724,0.635931805327127,0,0
"ENSG00000110245.12",6031.19488342452,-18.5040876320102,0.816611414079763,0,0
"ENSG00000111052.8",199.797011524095,-8.80510475049039,0.173941923576244,0,0
"ENSG00000111206.13",2208.68336997726,6.69488065984402,0.168206307042389,0,0
"ENSG00000111339.12",620.273265906854,-10.2206289456226,0.247850551117136,0,0
"ENSG00000113600.12",273.810990197398,-11.9770513533736,0.403900070769521,0,0
"ENSG00000113889.14",848.741497678952,-12.1918298496694,0.250270359028969,0,0
"ENSG00000114120.14",1989.640337206,7.34141465964632,0.159019634735741,0,0
"ENSG00000117394.24",9346.13503010835,5.94343969533248,0.1278764646143,0,0
"ENSG00000117594.10",693.934520603726,-11.2030790042359,0.200680730125916,0,0
"ENSG00000117601.15",941.329798708605,-12.4728361406384,0.263636031891054,0,0
"ENSG00000118271.12",2402.79632848697,-18.6284936510602,1.35177431864465,0,0
"ENSG00000120158.12",967.563315536446,-2.29043675894568,0.0577332740650339,0,0
"ENSG00000120885.22",10594.9299264286,-4.53879462899114,0.0997895393760256,0,0
"ENSG00000122194.20",338.927338767755,-9.15527101718318,0.159783334257264,0,0
"ENSG00000123838.11",620.452027334654,-13.2675124745826,0.417776586484646,0,0
"ENSG00000125398.8",2351.18677885666,5.90034708908341,0.111575345298907,0,0
"ENSG00000127564.17",845.260214545599,6.02367369118881,0.143677074159708,0,0
"ENSG00000129353.15",1436.23478700585,5.27726607282478,0.112184611833048,0,0
"ENSG00000129596.5",186.83694912497,-9.81281292680689,0.250026930437199,0,0
"ENSG00000129824.16",347.607779476768,-13.9723047037514,0.707921827554212,0,0
"ENSG00000131943.20",451.413025810166,-2.61835970769686,0.064757657466491,0,0
"ENSG00000132470.14",3801.1712382054,8.6898411101702,0.210499715862778,0,0
"ENSG00000132693.12",972.741712897832,-20.3564269006025,3.98480349386164,0,0
"ENSG00000132703.4",2673.59631732493,-18.7821814128729,1.35793290519229,0,0
"ENSG00000132840.10",1248.41220555625,-10.0856779163338,0.218723164423568,0,0
"ENSG00000133104.14",236.292691587141,-12.4467761089195,0.505762502719542,0,0
"ENSG00000134590.14",204.115276888231,-13.1986699069785,0.70815523453589,0,0
"ENSG00000135272.13",108.222266545802,-8.06833954202699,0.183212350838974,0,0
"ENSG00000136872.21",2844.76829562296,-14.6752973924566,0.342878689212972,0,0
"ENSG00000136881.12",3102.43732958091,-10.5897580786739,0.223600202561163,0,0
"ENSG00000137807.16",1799.85921914225,4.60401191042674,0.110292286061197,0,0
"ENSG00000138031.15",1290.19119993392,7.61111902876017,0.175570617858348,0,0
"ENSG00000138160.7",1533.72190471762,5.33262035155595,0.131739976248791,0,0
"ENSG00000140403.13",848.53351749647,4.56736081013621,0.112129883431749,0,0
"ENSG00000144645.16",569.276222126766,5.71673990785996,0.135485044790827,0,0
