"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000971.17",893.277292113289,-6.70608212548932,0.173438897521552,-38.6653871843022,0,0
"ENSG00000002933.9",512.55444418168,-7.77455017204778,0.144802421262142,-53.6907470488576,0,0
"ENSG00000003436.16",1419.32643601546,-7.52558203890218,0.181904432808272,-41.3710755846955,0,0
"ENSG00000008394.13",8915.42462577205,-6.41726260106764,0.14480368190252,-44.3169850155306,0,0
"ENSG00000010292.13",3171.77184175222,4.15644778343104,0.10950549961202,37.9565208885164,0,0
"ENSG00000011422.12",1002.20634495425,7.28112381946441,0.167727890268478,43.4103344876614,0,0
"ENSG00000011426.11",4025.84577551836,7.14565688105807,0.142070307955542,50.2966241425629,0,0
"ENSG00000013810.21",1957.57372100541,4.32072503496948,0.0937325302273606,46.0963234907773,0,0
"ENSG00000017483.16",1591.52701164669,6.61256743993144,0.126481164971109,52.2810447029159,0,0
"ENSG00000025423.11",541.780386098129,-7.12477689123546,0.182368191777444,-39.0680897901883,0,0
"ENSG00000035862.13",2433.6893063663,6.06611936705998,0.117861870758342,51.4680390530846,0,0
"ENSG00000050344.9",2299.02239231802,5.45667608594716,0.11177250551225,48.81948437086,0,0
"ENSG00000051523.12",2120.38742773178,8.39155337111911,0.216642940768405,38.734487915255,0,0
"ENSG00000057019.16",5258.3943634953,4.05463643667979,0.106857574379573,37.9443054011048,0,0
"ENSG00000062038.15",985.998112382572,6.52693420886511,0.158186647890553,41.2609679508538,0,0
"ENSG00000062282.15",1185.94342794868,-3.8796293420532,0.0979875375713827,-39.5930894704538,0,0
"ENSG00000065911.13",3255.42818697782,5.8870590459918,0.107245208034541,54.8934460931413,0,0
"ENSG00000068489.13",1307.68665214588,6.33233259593337,0.128223570501427,49.3850902074427,0,0
"ENSG00000071282.12",432.654638486172,-4.17771129723036,0.085186557057669,-49.0419080372289,0,0
"ENSG00000071539.14",1053.05761337171,4.37121308518101,0.104244802385626,41.9321921587117,0,0
"ENSG00000071967.12",526.909509000374,6.67543020642258,0.0996215636219933,67.0078842744529,0,0
"ENSG00000072210.19",2555.8493653296,-3.27656119221923,0.0732623524506092,-44.7236688779298,0,0
"ENSG00000072832.15",178.864049858202,4.65196525884063,0.107302943696385,43.3535660680792,0,0
"ENSG00000075643.6",494.475747320288,-4.34324257202688,0.0975532037715147,-44.5217830282587,0,0
"ENSG00000076382.17",1471.01891412608,4.6734162717408,0.0846512235179254,55.2078998687027,0,0
"ENSG00000079308.21",1435.40927472966,-7.80982476789139,0.184780715882848,-42.2653669814921,0,0
"ENSG00000080986.13",878.487414338514,6.82294886868765,0.171395582369915,39.8081956042602,0,0
"ENSG00000081059.20",1004.64333731728,4.56531680568311,0.103161035688864,44.2542746415633,0,0
"ENSG00000081923.15",805.29120881156,-6.31597185366377,0.145543832007175,-43.3956682778038,0,0
"ENSG00000082458.12",747.133562250079,5.19469747428666,0.0927416040179183,56.0125903503136,0,0
"ENSG00000085563.15",861.482049325944,-5.3115091544124,0.138330059400542,-38.397360468361,0,0
"ENSG00000085999.13",414.405040778149,5.56726255350572,0.139321317084174,39.9598759904211,0,0
"ENSG00000087253.13",1160.01313226592,4.9082821085781,0.123492268953993,39.745663029373,0,0
"ENSG00000088325.16",3836.24625183821,5.44398045329502,0.126979389327865,42.8729456182725,0,0
"ENSG00000090889.12",1192.52206221924,8.37406133378304,0.212877184567999,39.3375238909556,0,0
"ENSG00000091513.16",3332.20356647722,-7.81280170855124,0.147803742231862,-52.8592956482469,0,0
"ENSG00000093009.11",677.164150350012,5.44792939135673,0.127431469724271,42.7518367570009,0,0
"ENSG00000094804.12",1976.84450553149,5.12470617332843,0.113062700667233,45.3262317553471,0,0
"ENSG00000099377.14",1095.3532276002,-5.12385243489542,0.114130987803604,-44.8944895115822,0,0
"ENSG00000099812.9",1018.46813518951,8.2367834029207,0.184451607174548,44.6555252572353,0,0
"ENSG00000100342.22",3515.75741780802,-6.1089286972426,0.120729718712257,-50.600040838349,0,0
"ENSG00000101144.13",1250.72266263429,6.20073389446407,0.153386997578212,40.4254206182133,0,0
"ENSG00000101188.5",1360.4387716619,8.59566635668497,0.202673725990908,42.4113501375633,0,0
"ENSG00000101210.14",1517.39402133536,5.4336890088924,0.138873474788085,39.1269032274447,0,0
"ENSG00000101311.17",1375.67043159408,4.97799258212843,0.128719257126706,38.6732544395302,0,0
"ENSG00000101412.13",1168.9648886505,5.33778495209151,0.137339123620883,38.8657274880112,0,0
"ENSG00000101670.12",552.191710845817,-5.29902475847867,0.107068145415023,-49.4920757050409,0,0
"ENSG00000102554.14",1985.30697706475,4.49933294076336,0.11515499028369,39.0719753410515,0,0
"ENSG00000103187.8",3967.36947657098,5.96365792777346,0.131325219960064,45.4113682778298,0,0
"ENSG00000103942.13",302.229481710101,-6.38380066212333,0.157395166168199,-40.5590642809281,0,0
"ENSG00000104325.7",914.926865076899,-4.78494395766141,0.115037077241688,-41.5947977155959,0,0
