gene_raw,rank,gene_id,gene
ENSG00000121410.12,-19.2867586519889,ENSG00000121410,A1BG
ENSG00000268895.6,-1.38591815926477,ENSG00000268895,A1BG-AS1
ENSG00000148584.16,-10.041024095823,ENSG00000148584,A1CF
ENSG00000175899.15,-34.0180915799871,ENSG00000175899,A2M
ENSG00000245105.4,-5.59359672581266,ENSG00000245105,A2M-AS1
ENSG00000166535.20,6.57134819158342,ENSG00000166535,A2ML1
ENSG00000128274.17,2.48735398481375,ENSG00000128274,A4GALT
ENSG00000094914.14,8.75372402390042,ENSG00000094914,AAAS
ENSG00000081760.17,10.3824861730873,ENSG00000081760,AACS
ENSG00000291019.1,5.76749023181433,ENSG00000291019,AACSP1
ENSG00000114771.14,-22.8881982523856,ENSG00000114771,AADAC
ENSG00000291076.1,-1.65390595375067,ENSG00000291076,AADACP1
ENSG00000109576.14,3.91842675263295,ENSG00000109576,AADAT
ENSG00000103591.13,-1.93162480336567,ENSG00000103591,AAGAB
ENSG00000115977.21,1.31171264390778,ENSG00000115977,AAK1
ENSG00000087884.16,-6.56544309546491,ENSG00000087884,AAMDC
ENSG00000127837.10,3.39917031942963,ENSG00000127837,AAMP
ENSG00000129673.10,5.57724584091309,ENSG00000129673,AANAT
ENSG00000131043.13,-3.90105176204434,ENSG00000131043,AAR2
ENSG00000090861.17,-0.235770984985497,ENSG00000090861,AARS1
ENSG00000124608.5,1.82956399608003,ENSG00000124608,AARS2
ENSG00000266967.7,-4.52124088108436,ENSG00000266967,AARSD1
ENSG00000234969.1,3.30120352528565,ENSG00000234969,AARSD1P1
ENSG00000157426.14,-5.38352668778681,ENSG00000157426,AASDH
ENSG00000149313.11,-2.31121762519724,ENSG00000149313,AASDHPPT
ENSG00000008311.16,-4.35624711913888,ENSG00000008311,AASS
ENSG00000215458.8,0.759462730489104,ENSG00000215458,AATBC
ENSG00000275700.6,5.85677293732349,ENSG00000275700,AATF
ENSG00000181409.14,10.7307577247876,ENSG00000181409,AATK
ENSG00000281376.1,2.01196843402854,ENSG00000281376,ABALON
ENSG00000183044.12,-2.85445801128608,ENSG00000183044,ABAT
ENSG00000165029.17,-12.1798742498943,ENSG00000165029,ABCA1
